participant_code,chain_code,generation,treatment_appeal,feedback_message,mix_and_match,mismatch,color_based,shape_based,spread,mix_nutrients,pure_nutrients,spatial,useall,time,blue_prioritize,yellow_prioritize,red_prioritize,less_per_plant,more_per_plant,variation,other,noinfo
9p78muxo,0m69p768o_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68oftjfe,0m69p768o_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0m65fczo,0m69p768o_i3oq5e6tH,1,high_appeal,The field yields a higher output when you match the colours to the colours of the flowers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9gia3487,5l89gi5b0_i3oq5e6tH,1,high_appeal,The field yields a higher output when i even out all the nutrient number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5b09ax9h,5l89gi5b0_i3oq5e6tH,1,high_appeal,The field yields a higher output when you mix the nutrient colours that produce the colour of the plant. For example: 1x Red and 1x Blue = Purple. The plants that match one of the nutrient colours will only need that coulour of nutrient. For example a blue pant will require 1x blue nutrient. Always use the full 16 nutrients,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5l8kl3j0,5l89gi5b0_i3oq5e6tH,1,high_appeal,"The field yields a higher output when purple uses all 3, blue - blue etc, if you're left with one nutrient but you need 2 use red instead of yellow it gives more points, averaging 850ish by the end",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5wf8ehge,i4w5wfiqi_i3oq5e6tH,1,high_appeal,The field yields a higher output when it gets the red nutrient.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i4wte1te,i4w5wfiqi_i3oq5e6tH,1,high_appeal,The field yields a higher output when the nutrients added aren't used to mix the primary colour in question,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iqi3dwyj,i4w5wfiqi_i3oq5e6tH,1,high_appeal,"The field yields a higher output when all of the 16 nutrients are used and there are 2 nutrients to each plant, although there will be two plants that only have 1 nutrient each",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
qqax8x5v,psiqfoqqa_i3oq5e6tH,1,high_appeal,The field yields a higher output when you use both the blue and yellow colours. Roughly do 1 blue and 1 yellow for each plant. Please avoid using the red completely as this will likely result in a lower score.,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
qfogrnba,psiqfoqqa_i3oq5e6tH,1,high_appeal,"The field yields a higher output when sorry, I really couldn't figure out the pattern for success, this was my best solution but it still wasn't great, sorry again.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
psiyntgk,psiqfoqqa_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you complete all the flowers. If you still have a solution left, it's best to use it on the flowers that are mixed (i.e. green = blue + yellow, purple= blue + red). Also focus on the flowers that occur once.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rlzb08w8,rlzyoiwkj_i3oq5e6tH,1,high_appeal,"The field yields a higher output when the nutrients you add mix to make the colour of the shape. For example blue and red makes purple, so add a blue and a red nutrient. Adding an extra yellow to the green shape scored higher output.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wkja84nu,rlzyoiwkj_i3oq5e6tH,1,high_appeal,The field yields a higher output when nutrients are related to flower,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoiy7sem,rlzyoiwkj_i3oq5e6tH,1,high_appeal,"The field yields a higher output when using a colour that is the most unrelated to the element's own colour (ie - blue is highest with yellow, red is highest with blue). Whichever colour is furthest away from it on the spectrum yields a higher result.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4tazbb83,twv4tavfw_i3oq5e6tH,1,high_appeal,The field yields a higher output when you move fast and submit faster,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
twvvsas1,twv4tavfw_i3oq5e6tH,1,high_appeal,The field yields a higher output when you include more of blue manure,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vfwib2i5,twv4tavfw_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you match the colours according to colour theory. For example, for green, add one blue and one yellow. For purple, add one red and one blue. and so forth. For the already existing primary colours e.g. red, blue or yellow, just add one of the same colour. I got a higher score when I had one nutrient left after following these rules and used that to put 2 yellow on the plant with a big yellow square.",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
wu7j06fz,vrv867wu7_i3oq5e6tH,1,high_appeal,"The field yields a higher output when - well I'm not certain but I think what matters is mixing the correct colours that make the colours that are not primary & using the nutrients of the primary colours on the plants of secondary colours. So purple is red & blue, green is blue & yellow, & I assume orange is red & yellow although I do not know what the real proportions would be. My highest score was on the first round, when I did equal mixing to make the secondary colours & also gavea drop of blue to blue, yellow to yellow & red to red. Good luck :)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
867mi0qo,vrv867wu7_i3oq5e6tH,1,high_appeal,The field yields a higher output when I use fewer bottles of solution,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vrv5zzvp,vrv867wu7_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you match the colour combination of the nutrients with the colour of the flower. For example, blue and red combine to give purple.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
w0h6yk3m,w0h9sbawo_i3oq5e6tH,1,high_appeal,The field yields a higher output when you use less yellow on orange squares,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
awotbbkd,w0h9sbawo_i3oq5e6tH,1,high_appeal,The field yields a higher output when the drops are spread out more evenly.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9sbkkrj0,w0h9sbawo_i3oq5e6tH,1,high_appeal,The field yields a higher output when you don't add same nutriennt color to the floor that has the same color as the nutrient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nt9kea2i,w5wnt9d98_i3oq5e6tH,1,high_appeal,The field yields a higher output when just yellow,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
w5w13fjy,w5wnt9d98_i3oq5e6tH,1,high_appeal,"The field yields a higher output when colours of the nutrients correspond with the colours of the flowers (however, this approach only uses 15 nutrients so unclear if there's a better way that uses 16 nutrients).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d98gtde1,w5wnt9d98_i3oq5e6tH,1,high_appeal,The field yields a higher output when you mix the nutrients according to the plant's colour. for plants with a single nutrient color choose that single nutrient otherwise mix to get around that colored plant.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ly730g4m,z7ply7bzt_i3oq5e6tH,1,high_appeal,The field yields a higher output when you mix up the nutrients.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bztalyy7,z7ply7bzt_i3oq5e6tH,1,high_appeal,"The field yields a higher output when you match the potions to the colours. E.g. blue = blue, orange = yellow and red.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
z7ptei87,z7ply7bzt_i3oq5e6tH,1,high_appeal,The field yields a higher output when you guess the colours needed to get main colour,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3ga71kph,3gaxclyyh_7p2nvof4H,1,high_appeal,"The field yields a higher output when you mix together the primary colours to make the correct flower colour (e.g., Red + Yellow = Orange)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yyhszes8,3gaxclyyh_7p2nvof4H,1,high_appeal,The field yields a higher output when using a single colour solution per square. So far the highest score came from using a single yellow drop on every square. Mixing the solutions to make the colour of the flower resulted in a lower score.,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
xcl2ddy6,3gaxclyyh_7p2nvof4H,1,high_appeal,"The field yields a higher output when you choose colours that when mixed make that colour, for example red and yellow make orange, red and blue make purple, and mixing blue and yellow makes green",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1kozoaif,5171koccj_7p2nvof4H,1,high_appeal,"The field yields a higher output when you spread the nutrients evenly based on a combination of colors that create the color in the center. This maximized my points around the 500 level, however, I couldn't identify any correlation between shape or position within 6 trials, and even this is tenuous at best... but hopefully, it will be useful!",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
517p1491,5171koccj_7p2nvof4H,1,high_appeal,The field yields a higher output when you mix the nutrients to make that colour e.g. blue and red make purple. Not if you repeat the pattern though.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ccj2gxtx,5171koccj_7p2nvof4H,1,high_appeal,"The field yields a higher output when you match the nutrient colours to create the colour of the plant (eg., Blue and yellow to make green, blue and red to make purple, and yellow and red to make orange)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0lx42lnk,9xzdo10lx_7p2nvof4H,1,high_appeal,"The field yields a higher output when the inital colour is darker than the colour you change it with (say the primary colours - that is blue, yellow and red - a lighter primary colour must be used",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9xzttswm,9xzdo10lx_7p2nvof4H,1,high_appeal,"The field yields a higher output when there is an equal amount of feed on each plant I think; it's somewhat random though, but make sure you have at least 1 drop on each square. I also tested it via colour mixing, so if it was a green plant I would have 1 drop of blue and one drop of yellow = green. For some reason this paid out more at the start of the rounds from what I could tell. Again it could be completely random though.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
do11seh8,9xzdo10lx_7p2nvof4H,1,high_appeal,"The field yields a higher output when distributing the nutrients crresponding to the colours of each flower.For instance, I gave the orange flowers two nutrients corresponding to the sum of the colour (red + yellow makes orange). With the leftover nutrients, I gave one nutrient corresponding to the colour of the flower, and from there, gave one extra to any one flower displaying a primary colour.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
y5jb6yai,cjhc3hy5j_7p2nvof4H,1,high_appeal,"The field yields a higher output when one of the nutrients given is one of the colours involved in producing the colour of the flower. When only one colour is chosen instead of both (eg. two red nutrients for an orange flower instead of one red and one yellow nutrient), a higher score is given. When all of the nutrients given are the same colour, a lower output is yielded, but not by much.",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c3hpm8y5,cjhc3hy5j_7p2nvof4H,1,high_appeal,The field yields a higher output when you add more of one colour to a plant that doesnt have the nutrient colour and you have to use multiple colours to make it.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
cjh75pas,cjhc3hy5j_7p2nvof4H,1,high_appeal,"The field yields a higher output when you do not use all of what is available. Make sure every one has atleast 1 on either blue, yellow or red.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3ajalzmz,dtxsgs3aj_7p2nvof4H,1,high_appeal,"The field yields a higher output when giving nutrients that create the plants colour, for example mising red and blue for the purple plant.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sgs5dq5y,dtxsgs3aj_7p2nvof4H,1,high_appeal,The field yields a higher output when nutrients used are the same as the colour of the flower for example use 1 blue and 1 red nutrient to make purple,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dtxauagu,dtxsgs3aj_7p2nvof4H,1,high_appeal,"The field yields a higher output when you match the nutrient colours to the colour of the plant. So orange would be 1 yellow and 1 red nutrient, yellow would be 1 yellow. Doing this should use 15 nutrients per round.",1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
fcbgxewv,fcb7bmvvh_7p2nvof4H,1,high_appeal,The field yields a higher output when checking each line at a time and then moving on to discern whether or not your mixture is better for the next round. Although there is still some luck involved.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
vvhcjdtz,fcb7bmvvh_7p2nvof4H,1,high_appeal,The field yields a higher output when I used the colours (nutrients) I chose made the colour of the plant. For example if the plant was green then I chose the blue and yellow nutrients. If the plant was Yellow I just used the yellow nutrient.,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7bmipimf,fcb7bmvvh_7p2nvof4H,1,high_appeal,"The field yields a higher output when the potions match, or mix to match the flower colour, eg blue and yellow for green flower, or just blue for blue flowers.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tlhhgnzz,mjmtlhqc2_7p2nvof4H,1,high_appeal,"The field yields a higher output when you use a single colour per round. For instance, using just blue nutrients in one round. Each nutrient value seems to be around about the same value though.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mjm7x28a,mjmtlhqc2_7p2nvof4H,1,high_appeal,"The field yields a higher output when the you mix the exact primary colors of the plant. for example,   green + yellow = orange (to get a deeper solution, you add +1 red solution); blue + red = purple (add, +1 blue for deeper purple); blue + yellow= green (add +1 more blue). for the primary color solutions, +1 is just right.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qc2ng05b,mjmtlhqc2_7p2nvof4H,1,high_appeal,"The field yields a higher output when the blue circle plant gets +1 blue nutrient. I achieved my highest score when the red plant got +1 red nutrient, all of the orange plants got +1 yellow and red nutrient, the yellow plant got +1 nutrient, the top purple plant gets +1 yellow nutrient, bottom purple plant gets +1 blue and red nutrient, and the green plant got +1 yellow nutrient.",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ogh4rpw7,oghwt207z_7p2nvof4H,1,high_appeal,"The field yields a higher output when you utilise all of the avaiable 16 points to create as close as possible to en equal number of each colour value. IE; yellow and green make blue, so by using 4 measures of yellow on green, you have two blue. Or by using four measures of blue on red and four measures of red on blue, you have four pourple. I was unable to fully equalise the whole grid, but it also benefits you to use all available 16 points, even if there's still one set of colours which remains uneven. Good luck!",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
wt282ql1,oghwt207z_7p2nvof4H,1,high_appeal,"The field yields a higher output when you ignore the combinations that would normally make those colours. For example if you selected both red and yellow or blue and red for all of the purple and orange flowers etc, then selected the primary colours corresponding solution, this would infact give a lower score than a more random combination.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
07zu5w5h,oghwt207z_7p2nvof4H,1,high_appeal,The field yields a higher output when I used blue nutrient and yellow nutrient as the secondary nutrient.,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
