participant_code,consent,generation,session_code,session_label,treatment_appeal,example_color,chain_code,selected_feedback_index,selected_feedback_message,selected_feedback_grid_state,selected_feedback_author,selected_feedback_score,feedback_message,feedback_score,feedback_grid_state,birthyear,gender,period,revenue,cost,points,plants_treated,grid_state,period_in_chain,num_plants_fed,selected_feedback_grid_state_flatten,grid_state_flatten,feedback_grid_state_flatten,net_payoff,generation_c
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,1,645,98,547,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,100-101-110-001-011-010-011-101-011,011-010-001-110-100-101-100-010-100,694,0
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,2,657,64,593,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100,728,0
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,3,750,64,686,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",3,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100,728,0
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,4,635,104,531,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",4,9,NA,100-101-110-001-011-101-011-101-011,011-010-001-110-100-101-100-010-100,688,0
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,5,819,64,755,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",5,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100,728,0
9p78muxo,1,1,i3oq5e6t,p_ha2g1,high_appeal,yellow,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you give it the nutrients of the colours that aren't involved. E.g., for a blue field, give it yellow and red nutrients. For an orange plant, give it blue nutrients (as red and yellow equal orange).",565,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2003,Female,6,629,64,565,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",6,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100,728,0
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,1,769,110,659,8,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":2}]]",1,8,NA,100-101-011-110-011-000-002-001-012,200-101-110-001-011-010-011-101-011,602,0
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,2,644,98,546,7,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":2},{""blue"":0,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",2,7,NA,200-101-110-002-012-000-000-101-011,200-101-110-001-011-010-011-101-011,534,0
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,3,752,108,644,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",3,9,NA,100-101-110-002-011-010-011-101-011,200-101-110-001-011-010-011-101-011,684,0
68oftjfe,1,1,i3oq5e6t,p_ha2g1,high_appeal,blue,0m69p768o_i3oq5e6tH,NA,NA,NA,NA,NA,"The field yields a higher output when you try to match the colour of the flower to the ingredients that would make that colour. If the colour is the same as a single ingredient, doubling that ingredient will make a higher score. Red seems to be best as a single.",781,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1992,Male,4,634,88,546,8,"[[{""blue"":0,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",4,8,NA,000-001-001-100-001-020-011-101-011,200-101-110-001-011-010-011-101-011,624,0
