participant_code,consent,generation,session_code,session_label,treatment_appeal,example_color,chain_code,selected_feedback_index,selected_feedback_message,selected_feedback_grid_state,selected_feedback_author,feedback_message,feedback_grid_state,birthyear,gender,period,revenue,cost,points,plants_treated,grid_state,period_in_chain,num_plants_fed,selected_feedback_grid_state_flatten,grid_state_flatten,feedback_grid_state_flatten
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,1,883,98,785,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",1,9,NA,100-101-110-001-011-010-011-101-011,011-010-001-110-100-101-100-010-100
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,2,618,64,554,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",2,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,3,763,98,665,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",3,9,NA,100-101-110-001-011-010-011-101-011,011-010-001-110-100-101-100-010-100
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,4,908,64,844,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",4,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,5,809,98,711,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1},{""blue"":1,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":1,""yellow"":0,""red"":1},{""blue"":0,""yellow"":1,""red"":1}]]",5,9,NA,100-101-110-001-011-010-011-101-011,011-010-001-110-100-101-100-010-100
4itzslqh,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you add the nutrients that make up the colour of the flower in the first round then in the 2nd round you add the nutrients you didnt add in the first round,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",1993,Female,6,774,64,710,9,"[[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":0,""red"":0}]]",6,9,NA,011-010-001-110-100-101-100-010-100,011-010-001-110-100-101-100-010-100
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,1,801,78,723,9,"[[{""blue"":1,""yellow"":0,""red"":0},{""blue"":1,""yellow"":0,""red"":0},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":2}],[{""blue"":0,""yellow"":0,""red"":1},{""blue"":0,""yellow"":0,""red"":1},{""blue"":2,""yellow"":0,""red"":0}]]",1,9,NA,100-100-020-020-010-002-001-001-200,020-200-001-002-020-100-200-002-020
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,2,944,72,872,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":2,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":1,""yellow"":0,""red"":0}]]",2,9,NA,200-200-020-200-020-001-200-002-100,020-200-001-002-020-100-200-002-020
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,3,685,92,593,9,"[[{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":0,""red"":1},{""blue"":1,""yellow"":0,""red"":1}],[{""blue"":1,""yellow"":1,""red"":0},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":1}],[{""blue"":0,""yellow"":1,""red"":1},{""blue"":0,""yellow"":1,""red"":0},{""blue"":1,""yellow"":1,""red"":0}]]",3,9,NA,110-001-101-110-010-111-011-010-110,020-200-001-002-020-100-200-002-020
w1swb17t,1,1,a03k1zfq,ha1g1,high_appeal,blue,4itw1slzj_a03k1zfqH,NA,NA,NA,NA,The field yields a higher output when you use diffrent colours for each flower.,"[[{""blue"":0,""yellow"":2,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":1}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":2,""yellow"":0,""red"":0},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":2,""red"":0}]]",2002,Female,4,856,84,772,9,"[[{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0},{""blue"":2,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":2,""red"":0},{""blue"":0,""yellow"":2,""red"":0},{""blue"":1,""yellow"":0,""red"":0}],[{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":0,""red"":2},{""blue"":0,""yellow"":1,""red"":0}]]",4,9,NA,200-200-200-020-020-100-002-002-010,020-200-001-002-020-100-200-002-020
